Time,Proportion of daily energy consumption consumed in the given hour,,Month,Average energy consumption per hour (in kWh)
1,0.018214936,,January,229456.432
2,0.016393443,,February,234246.9351
3,0.014571949,,March,220292.5495
4,0.013661202,,April,200898.6594
5,0.014571949,,May,184625.2811
6,0.018214936,,June,183445.3563
7,0.027322404,,July,179773.8138
8,0.050091075,,August,182828.4413
9,0.048269581,,September,192543.3547
10,0.046448087,,October,204031.15
11,0.043260474,,November,230142.2259
12,0.043260474,,December,225772.9106
13,0.043715847,,,
14,0.040983607,,,
15,0.039162113,,,
16,0.047358834,,,
17,0.050091075,,,
18,0.068306011,,,
19,0.067395264,,,
20,0.068306011,,,
21,0.068306011,,,
22,0.068306011,,,
23,0.045537341,,,
24,0.029143898,,,
